delta,pctl
49.61053,2.600649
49.60973,2.600916
49.60866,2.601449
49.60706,2.601983
49.60653,2.602249
49.60626,2.602783
49.60386,2.60305
49.60306,2.603583
49.60119,2.607585
49.58679,2.608652
49.58199,2.613987
49.56838,2.621189
49.54837,2.64173
49.46995,2.651333
49.4382,2.668406
49.38378,2.696683
49.29655,2.748167
49.1413,2.748968
49.13997,2.749234
49.13943,2.749768
49.1389,2.750035
49.13836,2.750301
49.13783,2.751635
49.13463,2.751902
49.13276,2.756704
49.11782,2.757504
49.11382,2.763106
49.10022,2.767374
49.08181,2.791649
48.99245,2.802053
48.9631,2.816191
48.90842,2.839399
48.82598,2.891151
48.66086,2.891418
48.66059,2.891685
48.65979,2.891951
48.65953,2.892752
48.65873,2.893018
48.6582,2.893285
48.65793,2.893552
48.65766,2.894085
48.65713,2.894352
48.65659,2.894619
48.65499,2.894886
48.65446,2.895152
48.65393,2.895686
48.65073,2.896219
48.64993,2.896753
48.64886,2.89782
48.64699,2.903155
48.63152,2.90609
48.62565,2.909557
48.60991,2.91596
48.5915,2.94557
48.50694,2.959175
48.4688,2.982383
48.40371,3.011994
48.30447,3.067213
48.13588,3.06748
48.13508,3.067747
48.13374,3.068013
48.13321,3.06828
48.13294,3.068814
48.13214,3.06908
48.13134,3.069881
48.13028,3.070147
48.12974,3.071748
48.12467,3.072281
48.12307,3.073348
48.11987,3.079751
48.10387,3.083219
48.0972,3.08802
48.07906,3.09629
48.05878,3.125634
47.97049,3.141106
47.9254,3.158979
47.87152,3.190456
47.77228,3.243542
47.59489,3.243808
47.59462,3.244075
47.59355,3.244342
47.59249,3.244876
47.59142,3.245142
47.59062,3.245409
47.58955,3.245676
47.58875,3.246209
47.58715,3.246743
47.58635,3.24941
47.58075,3.249677
47.57915,3.251545
47.57701,3.255813
47.55861,3.259014
47.5498,3.265683
47.53113,3.275019
47.51006,3.307831
47.41029,3.323837
47.36547,3.348645
47.29531,3.379856
47.19822,3.440678
47.01068,3.440945
47.01041,3.441211
47.00988,3.441478
47.00961,3.441745
47.00881,3.442012
47.00801,3.442278
47.00775,3.442545
47.00721,3.443079
47.00481,3.443345
47.00428,3.443612
47.00241,3.444146
47.00108,3.44628
46.99628,3.446813
46.99494,3.448147
46.99147,3.449214
46.98881,3.45535
46.97227,3.457484
46.96613,3.462285
46.94719,3.470288
46.92479,3.499899
46.82101,3.513237
46.77806,3.533244
46.71618,3.570057
46.61267,3.627944
46.43101,3.62821
46.43021,3.628477
46.42968,3.629278
46.42648,3.629544
46.42594,3.629811
46.42487,3.630345
46.42408,3.631145
46.42061,3.631412
46.41981,3.631678
46.41901,3.632745
46.41634,3.633546
46.4142,3.638881
46.3958,3.643683
46.38646,3.652486
46.36966,3.663156
46.34325,3.692767
46.24401,3.706905
46.20613,3.725845
46.14798,3.759457
46.04768,3.81761
45.86148,3.817877
45.86041,3.818144
45.85828,3.818678
45.85587,3.819211
45.85508,3.820545
45.84947,3.821345
45.8484,3.822145
45.84707,3.82668
45.82893,3.828548
45.82467,3.832282
45.81666,3.83655
45.79799,3.846954
45.77584,3.879499
45.66514,3.892037
45.62112,3.910443
45.55524,3.945122
45.43653,4.012879
45.23379,4.013146
45.23326,4.013413
45.23219,4.013679
45.23166,4.014747
45.22926,4.015013
45.22819,4.016614
45.22125,4.016881
45.22072,4.017414
45.21938,4.018748
45.21618,4.024883
45.20018,4.027018
45.19537,4.031286
45.18497,4.038755
45.16683,4.045958
45.14762,4.079836
45.03825,4.096909
44.99184,4.120917
44.92755,4.153462
44.81898,4.217751
44.61864,4.218018
44.61811,4.218285
44.61757,4.220152
44.61411,4.220419
44.61304,4.220686
44.61224,4.221753
44.60904,4.222019
44.60797,4.22282
44.6061,4.223087
44.6045,4.229489
44.58343,4.231356
44.57916,4.236691
44.56529,4.243894
44.54902,4.252964
44.52661,4.287109
44.42204,4.303381
44.37189,4.32659
44.3036,4.361802
44.19182,4.43276
43.98588,4.433027
43.98535,4.433294
43.98508,4.433561
43.98455,4.433827
43.98348,4.434094
43.98322,4.434361
43.98295,4.434628
43.98268,4.434894
43.98215,4.435161
43.98161,4.435961
43.97975,4.436228
43.97921,4.437295
43.97495,4.438096
43.97388,4.438362
43.97281,4.439696
43.97014,4.446098
43.95414,4.447432
43.9488,4.451967
43.9352,4.457302
43.91599,4.469307
43.88932,4.506386
43.77274,4.523459
43.72232,4.549068
43.65057,4.582947
43.54359,4.647236
43.34006,4.647503
