acc,pctl
89.19,95.43711
89.18,95.44903
89.17,95.46197
89.16,95.47896
89.15,95.49418
89.14,95.51295
89.13,95.52614
89.12,95.54136
89.11,95.55734
89.1,95.57433
89.09,95.58777
89.08,95.60324
89.07,95.6177
89.06,95.63013
89.05,95.64611
89.04,95.66057
89.03,95.67325
89.02,95.69252
89.01,95.70647
89,95.72423
88.99,95.73513
88.98,95.74706
88.97,95.75872
88.96,95.77039
88.95,95.78434
88.94,95.80235
88.93,95.81858
88.92,95.83329
88.91,95.83912
88.9,95.83938
88.89,95.90152
88.87,95.90761
88.86,95.92105
88.85,95.94032
88.84,95.95504
88.83,95.96721
88.82,95.9804
88.81,95.99359
88.8,96.00348
88.79,96.02047
88.78,96.0296
88.77,96.04051
88.76,96.05497
88.75,96.06765
88.74,96.08008
88.73,96.09428
88.72,96.10595
88.71,96.11812
88.7,96.13359
88.69,96.14298
88.68,96.15591
88.67,96.16784
88.66,96.17874
88.65,96.18965
88.64,96.20892
88.63,96.21805
88.62,96.22947
88.61,96.23987
88.6,96.25052
88.59,96.26269
88.58,96.27411
88.57,96.28552
88.56,96.29541
88.55,96.3081
88.54,96.32052
88.53,96.32636
88.52,96.34056
88.51,96.35527
88.5,96.36643
88.49,96.37582
88.48,96.39205
88.47,96.40118
88.46,96.41589
88.45,96.42654
88.44,96.43796
88.43,96.44759
88.42,96.45825
88.41,96.47448
88.4,96.4831
88.39,96.49477
88.38,96.50441
88.37,96.51709
88.36,96.53408
88.35,96.546
88.34,96.55742
88.33,96.56706
88.32,96.57822
88.31,96.59064
88.3,96.60561
88.29,96.61677
88.28,96.62945
88.27,96.64036
88.26,96.65278
88.25,96.6609
88.24,96.6817
88.23,96.68195
88.22,96.68956
88.21,96.70072
88.2,96.71036
88.19,96.72329
88.18,96.73496
88.17,96.74536
88.16,96.75601
88.15,96.77047
88.14,96.7829
88.13,96.79203
88.12,96.80319
88.11,96.81638
88.1,96.82855
88.09,96.83718
88.08,96.84605
88.07,96.85645
88.06,96.86482
88.05,96.87421
88.04,96.88055
88.03,96.88993
88.02,96.90008
88.01,96.90972
88,96.9262
87.99,96.93533
87.98,96.94345
87.97,96.95258
87.96,96.96222
87.95,96.97211
87.94,96.98124
87.93,96.99265
87.92,97.00305
87.91,97.01295
87.9,97.02182
87.89,97.03197
87.88,97.04135
87.87,97.05074
87.86,97.06114
87.85,97.0723
87.84,97.08219
87.83,97.09233
87.82,97.10096
87.81,97.10501
87.8,97.1182
87.79,97.12708
87.78,97.13697
87.77,97.14509
87.76,97.15523
87.75,97.16132
87.74,97.1702
87.73,97.17654
87.72,97.1844
87.71,97.1948
87.7,97.20596
87.69,97.21459
87.68,97.22194
87.67,97.23107
87.66,97.23995
87.65,97.24984
87.64,97.25948
87.63,97.26861
87.62,97.27749
87.61,97.28231
87.6,97.29144
87.59,97.2993
87.58,97.30716
87.57,97.31553
87.56,97.32466
87.55,97.3343
87.54,97.34394
87.53,97.35053
87.52,97.35205
87.5,97.39137
87.48,97.39314
87.47,97.39872
87.46,97.41115
87.45,97.42003
87.44,97.43144
87.43,97.43956
87.42,97.44793
87.41,97.45655
87.4,97.46315
87.39,97.47279
87.38,97.48141
87.37,97.48902
87.36,97.49942
87.35,97.50652
87.34,97.51387
87.33,97.51945
87.32,97.52706
87.31,97.53467
87.3,97.54456
87.29,97.55395
87.28,97.56054
87.27,97.56866
87.26,97.57373
87.25,97.58033
87.24,97.58743
87.23,97.59656
87.22,97.60594
87.21,97.61457
87.2,97.62319
87.19,97.63105
87.18,97.63663
87.17,97.64373
87.16,97.6521
87.15,97.65946
87.14,97.66707
87.13,97.67696
87.12,97.68609
87.11,97.69319
87.1,97.70385
87.09,97.70613
87.08,97.71374
87.07,97.72414
87.06,97.73352
87.05,97.73859
87.04,97.74595
87.03,97.75229
87.02,97.75863
87.01,97.76497
87,97.76979
86.99,97.77562
86.98,97.78222
86.97,97.79084
86.96,97.80124
86.95,97.80276
86.94,97.80784
86.93,97.81545
86.92,97.82305
86.91,97.82863
86.9,97.8365
86.89,97.84588
86.88,97.85172
86.87,97.85755
86.86,97.86364
86.85,97.86972
86.84,97.87733
86.83,97.88672
86.82,97.89306
86.81,97.90041
86.8,97.90625
86.79,97.91309
86.78,97.92121
86.77,97.92527
86.76,97.93161
86.75,97.93922
86.74,97.94378
86.73,97.95494
86.72,97.9623
86.71,97.97143
86.7,97.97701
86.69,97.98437
86.68,97.98614
86.67,98.00034
86.65,98.00618
86.64,98.01353
86.63,98.01835
86.62,98.02343
86.61,98.0318
86.6,98.03738
86.59,98.04625
86.58,98.05082
86.57,98.05741
86.56,98.06401
86.55,98.07111
86.54,98.07796
86.53,98.08252
86.52,98.09115
86.51,98.09799
86.5,98.10687
86.49,98.11524
86.48,98.11879
86.47,98.12463
86.46,98.13097
86.45,98.13579
86.44,98.1406
86.43,98.14517
86.42,98.14974
86.41,98.15658
86.4,98.16191
86.39,98.16673
86.38,98.1751
86.37,98.17687
86.36,98.18524
86.35,98.19133
86.34,98.19564
86.33,98.19843
86.32,98.20554
86.31,98.21416
86.3,98.21898
86.29,98.22659
86.28,98.2309
86.27,98.23699
86.26,98.2413
86.25,98.24688
86.24,98.2517
86.23,98.25626
86.22,98.26565
86.21,98.27275
86.2,98.27554
86.19,98.28213
86.18,98.28949
86.17,98.29684
86.16,98.3009
86.15,98.308
86.14,98.31409
86.13,98.31942
86.12,98.32373
86.11,98.32956
86.1,98.33641
86.09,98.34224
86.08,98.34808
86.07,98.35163
86.06,98.35619
86.05,98.36482
86.04,98.36786
86.03,98.3742
86.02,98.37902
86.01,98.3846
86,98.38688
85.99,98.39297
85.98,98.39855
85.97,98.40134
85.96,98.40946
85.95,98.41554
85.94,98.42163
85.93,98.4267
85.92,98.43127
85.91,98.43609
85.9,98.44065
85.89,98.44497
85.88,98.45105
85.87,98.45689
85.86,98.4612
85.85,98.46729
85.84,98.47134
85.83,98.47566
85.82,98.47921
85.81,98.48403
85.8,98.48758
85.79,98.49316
85.78,98.50001
85.77,98.50356
85.76,98.50736
85.75,98.51218
85.74,98.51472
85.71,98.54541
85.69,98.54667
85.68,98.54896
85.67,98.55428
85.66,98.55936
85.65,98.56265
85.64,98.56798
85.63,98.57254
85.62,98.57635
85.61,98.58294
85.6,98.58649
85.59,98.59106
85.58,98.59486
85.57,98.60019
85.56,98.60273
85.55,98.60653
85.54,98.61135
85.53,98.61617
85.52,98.62048
85.51,98.62505
85.5,98.62885
85.49,98.63291
85.48,98.63824
85.47,98.64305
85.46,98.64508
85.45,98.65244
85.44,98.65751
85.43,98.66309
85.42,98.6669
85.41,98.67045
85.4,98.67374
85.39,98.67831
85.38,98.68389
85.37,98.68769
85.36,98.69099
85.35,98.69581
85.34,98.70139
85.33,98.70672
85.32,98.709
85.31,98.71382
85.3,98.7161
85.29,98.72143
85.28,98.7265
85.27,98.73107
85.26,98.73639
85.25,98.73944
85.24,98.74223
85.23,98.74958
85.22,98.75186
85.21,98.75415
85.2,98.7577
85.19,98.76658
85.18,98.76708
85.17,98.77063
85.16,98.77545
85.15,98.77799
85.14,98.78382
85.13,98.78661
85.12,98.78966
85.11,98.79422
85.1,98.79726
85.09,98.79929
85.08,98.8031
85.07,98.80792
85.06,98.81071
85.05,98.81299
85.04,98.81578
85.03,98.82136
85.02,98.82618
85.01,98.82795
85,98.83379
84.99,98.8348
84.98,98.83988
84.97,98.84393
84.96,98.84698
84.95,98.85002
84.94,98.85332
84.93,98.85662
84.92,98.85941
84.91,98.86422
84.9,98.86727
84.89,98.87057
84.88,98.87437
84.87,98.87716
84.86,98.88046
84.85,98.88528
84.84,98.88883
84.83,98.89162
84.82,98.89491
84.81,98.89847
84.8,98.90176
84.79,98.90303
84.78,98.90734
84.77,98.91064
84.76,98.91495
84.75,98.92053
84.74,98.92281
84.73,98.92383
84.72,98.92789
84.71,98.93093
84.7,98.93321
84.69,98.936
84.68,98.9393
84.67,98.94184
84.66,98.94513
84.65,98.94945
84.64,98.9535
84.63,98.95452
84.62,98.96187
84.6,98.96289
84.59,98.96492
84.58,98.96796
84.57,98.97126
84.56,98.97456
84.55,98.97836
84.54,98.9809
84.53,98.98216
84.52,98.98648
84.51,98.99206
84.5,98.99586
84.49,98.99789
84.48,99.00068
84.47,99.00575
84.46,99.00905
84.45,99.01108
84.44,99.01539
84.43,99.01843
84.42,99.02351
84.41,99.0268
84.4,99.03086
84.39,99.03365
84.38,99.03949
84.37,99.03999
84.36,99.04228
84.35,99.04557
84.34,99.04963
84.33,99.0509
84.32,99.05344
84.31,99.05648
84.3,99.05876
84.29,99.06181
84.28,99.06383
84.27,99.06789
