wpm,pctl
203.03,0.2291473
203.02,0.2294141
203,0.2296808
202.92,0.2299476
202.41,0.2302144
202.4,0.2336823
202.39,0.2350161
202.38,0.2355496
202.37,0.2368834
202.36,0.2371501
202.35,0.2387507
202.34,0.2390175
202.33,0.239551
202.32,0.2400845
202.31,0.2403513
202.29,0.240618
202.27,0.2430189
202.22,0.2432856
202.18,0.2435524
202.15,0.2438192
202.13,0.2440859
201.78,0.2443527
201.6,0.2478206
201.59,0.2504882
201.58,0.2510217
201.57,0.2531558
201.56,0.2539561
201.55,0.2542228
201.54,0.2544896
201.52,0.2550231
201.51,0.2563569
201.5,0.2566237
201.48,0.2579575
201.47,0.2592913
201.46,0.259558
201.43,0.2598248
201.42,0.2600916
201.41,0.2603583
201.37,0.2606251
201.26,0.2608918
200.8,0.26516
200.79,0.2667606
200.78,0.2675608
200.77,0.2691614
200.76,0.2696949
200.75,0.2704952
200.74,0.270762
200.73,0.2710287
200.72,0.2720958
200.71,0.2726293
200.7,0.2728961
200.67,0.2747634
200.65,0.2750301
200.62,0.2752969
200.6,0.2755637
200.53,0.2766307
200.5,0.2768975
200.4,0.2771642
200,0.2803654
199.99,0.2819659
199.98,0.2838332
199.97,0.2849003
199.96,0.2859673
199.95,0.2867676
199.94,0.2878347
199.93,0.2899687
199.92,0.2905023
199.91,0.2915693
199.9,0.2918361
199.89,0.2921028
199.88,0.2923696
199.87,0.2953039
199.86,0.2955707
199.84,0.2958375
199.83,0.2961042
199.82,0.296371
199.78,0.2966377
199.76,0.2969045
199.4,0.2971713
199.2,0.3001056
199.19,0.3027732
199.18,0.3038403
199.17,0.3067747
199.16,0.3073082
199.14,0.3083752
199.12,0.3091755
199.11,0.3094423
199.09,0.309709
199.07,0.3118431
199.03,0.3121099
199.01,0.3126434
198.4,0.3147775
198.39,0.3158445
198.38,0.3166448
198.37,0.3174451
198.36,0.3185121
198.35,0.3201127
198.34,0.3206462
198.32,0.320913
198.31,0.3214465
198.29,0.32198
